1950;102067000
1951;102945000
1952;104587000
1953;106715000
1954;108430000
1955;110537000
1956;112266000
1957;114017000
1958;115665000
1959;117534315
1960;119045800
1961;120765599
1962;122406795
1963;123848406
1964;125179206
1965;126309100
1966;127189098
1967;128026196
1968;128695994
1969;129378809
1970;130079210
1971;130563363
1972;131304497
1973;132069024
1974;132799355
1975;133633900
1976;134549101
1977;135503754
1978;136455076
1979;137550949
1980;138126600
1981;138839197
1982;139603792
1983;140529786
1984;141582615
1985;142539000
1986;143527861
1987;144783723
1988;145988334
1989;147400537
1990;147665081
1991;148273746
1992;148514692
1993;148561694
1994;148355867
1995;148459937
1996;148291638
1997;148028613
1998;147802133
1999;147539426
2000;146890128
2001;146303611
2002;145166731
2003;144963650
2004;144168205
2005;143474219
2006;142753551
2007;142220968
2008;142008838
2009;141903979
2010;142856536
2011;142865433
2012;143056383
2013;143347059
2014;143666931
2015;146267288
2016;146544710
2017;146804372
2018;146880432
